county_fips,year,complete_count,public_status,public_lower,public_upper,posterior_mean,posterior_median,posterior_lower_95,posterior_upper_95,absolute_error_posterior_mean,squared_error_posterior_mean,truth_covered_by_95_interval
21179,2020,2,suppressed_1_9,1,9,1.7616666666666667,2.0,1.0,4.0,0.23833333333333329,0.05680277777777776,True
21179,2021,2,suppressed_1_9,1,9,1.9858333333333333,2.0,1.0,4.0,0.01416666666666666,0.0002006944444444443,True
21179,2022,2,suppressed_1_9,1,9,2.35875,2.0,1.0,5.0,0.3587500000000001,0.1287015625000001,True
21179,2023,4,suppressed_1_9,1,9,1.8791666666666667,2.0,1.0,4.0,2.1208333333333336,4.497934027777779,True
21179,2024,1,suppressed_1_9,1,9,2.2395833333333335,2.0,1.0,5.0,1.2395833333333335,1.5365668402777781,True
21195,2019,5,suppressed_1_9,1,9,4.113333333333333,4.0,1.0,7.0,0.8866666666666667,0.7861777777777779,True
21195,2020,5,suppressed_1_9,1,9,3.6283333333333334,4.0,1.0,6.0,1.3716666666666666,1.8814694444444442,True
21195,2021,3,suppressed_1_9,1,9,4.67375,5.0,2.0,8.0,1.67375,2.8014390625,True
21195,2022,5,suppressed_1_9,1,9,5.42875,5.0,2.0,8.0,0.42874999999999996,0.18382656249999996,True
21195,2023,2,suppressed_1_9,1,9,3.8383333333333334,4.0,1.0,7.0,1.8383333333333334,3.3794694444444446,True
21195,2024,7,suppressed_1_9,1,9,5.3175,5.0,2.0,8.0,1.6825,2.83080625,True
21201,2019,2,suppressed_1_9,1,9,1.115,1.0,1.0,2.0,0.885,0.7832250000000001,True
21201,2020,1,suppressed_1_9,1,9,1.1125,1.0,1.0,2.0,0.11250000000000004,0.01265625000000001,True
21201,2021,1,suppressed_1_9,1,9,1.1454166666666667,1.0,1.0,2.0,0.14541666666666675,0.02114600694444447,True
21201,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21201,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21201,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21207,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21207,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21207,2021,4,suppressed_1_9,1,9,1.7370833333333333,2.0,1.0,4.0,2.2629166666666665,5.120791840277777,True
21207,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21207,2023,1,suppressed_1_9,1,9,1.6745833333333333,1.0,1.0,4.0,0.6745833333333333,0.4550626736111111,True
21207,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21239,2019,1,suppressed_1_9,1,9,1.8208333333333333,2.0,1.0,4.0,0.8208333333333333,0.673767361111111,True
21239,2020,1,suppressed_1_9,1,9,1.73875,2.0,1.0,4.0,0.73875,0.5457515625,True
21239,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21239,2022,2,suppressed_1_9,1,9,2.3070833333333334,2.0,1.0,5.0,0.3070833333333334,0.09430017361111113,True
21239,2023,3,suppressed_1_9,1,9,1.94625,2.0,1.0,4.0,1.05375,1.1103890625,True
21239,2024,3,suppressed_1_9,1,9,2.1870833333333333,2.0,1.0,4.0,0.8129166666666667,0.6608335069444445,True
29009,2019,3,suppressed_1_9,1,9,3.1525,3.0,1.0,6.0,0.15249999999999986,0.023256249999999958,True
29009,2020,1,suppressed_1_9,1,9,1.20875,1.0,1.0,2.0,0.20875,0.0435765625,True
29009,2021,3,suppressed_1_9,1,9,2.432916666666667,2.0,1.0,5.0,0.5670833333333332,0.32158350694444426,True
29009,2022,2,suppressed_1_9,1,9,1.7908333333333333,2.0,1.0,4.0,0.20916666666666672,0.04375069444444447,True
29009,2023,2,suppressed_1_9,1,9,2.3220833333333335,2.0,1.0,5.0,0.3220833333333335,0.10373767361111122,True
29009,2024,2,suppressed_1_9,1,9,2.0929166666666665,2.0,1.0,4.0,0.09291666666666654,0.008633506944444421,True
29057,2019,1,suppressed_1_9,1,9,1.5045833333333334,1.0,1.0,3.0,0.5045833333333334,0.25460434027777784,True
29057,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
29057,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
29057,2022,1,suppressed_1_9,1,9,1.2158333333333333,1.0,1.0,2.0,0.21583333333333332,0.04658402777777777,True
29057,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
29057,2024,1,suppressed_1_9,1,9,1.29,1.0,1.0,3.0,0.29000000000000004,0.08410000000000002,True
29113,2019,2,suppressed_1_9,1,9,2.2308333333333334,2.0,1.0,4.0,0.23083333333333345,0.05328402777777783,True
29113,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
29113,2021,2,suppressed_1_9,1,9,1.99,2.0,1.0,4.0,0.010000000000000009,0.00010000000000000018,True
29113,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
29113,2023,1,suppressed_1_9,1,9,1.94,2.0,1.0,4.0,0.94,0.8835999999999999,True
29113,2024,2,suppressed_1_9,1,9,1.79875,2.0,1.0,4.0,0.20124999999999993,0.04050156249999997,True
29121,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
29121,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
29121,2021,2,suppressed_1_9,1,9,1.5575,1.0,1.0,3.0,0.4424999999999999,0.1958062499999999,True
29121,2022,1,suppressed_1_9,1,9,1.30375,1.0,1.0,3.0,0.30374999999999996,0.09226406249999998,True
29121,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
29121,2024,1,suppressed_1_9,1,9,1.4383333333333332,1.0,1.0,3.0,0.43833333333333324,0.19213611111111104,True
29165,2019,6,suppressed_1_9,1,9,5.236666666666666,5.0,2.0,8.0,0.7633333333333336,0.5826777777777783,True
29165,2020,1,suppressed_1_9,1,9,1.3058333333333334,1.0,1.0,2.0,0.3058333333333334,0.09353402777777782,True
29165,2021,6,suppressed_1_9,1,9,4.408333333333333,4.0,1.0,7.025000000000091,1.5916666666666668,2.5334027777777783,True
29165,2022,3,suppressed_1_9,1,9,2.5029166666666667,2.0,1.0,5.0,0.4970833333333333,0.24709184027777775,True
29165,2023,3,suppressed_1_9,1,9,3.9495833333333334,4.0,1.0,7.0,0.9495833333333334,0.9017085069444447,True
29165,2024,2,suppressed_1_9,1,9,3.5966666666666667,3.0,1.0,7.0,1.5966666666666667,2.5493444444444444,True
29173,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
29173,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
29173,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
29173,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
29173,2023,2,suppressed_1_9,1,9,1.2658333333333334,1.0,1.0,3.0,0.7341666666666666,0.5390006944444444,True
29173,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
29189,2019,15,exact,15,15,15.0,15.0,15.0,15.0,0.0,0.0,True
29189,2020,32,exact,32,32,32.0,32.0,32.0,32.0,0.0,0.0,True
29189,2021,44,exact,44,44,44.0,44.0,44.0,44.0,0.0,0.0,True
29189,2022,37,exact,37,37,37.0,37.0,37.0,37.0,0.0,0.0,True
29189,2023,43,exact,43,43,43.0,43.0,43.0,43.0,0.0,0.0,True
29189,2024,31,exact,31,31,31.0,31.0,31.0,31.0,0.0,0.0,True
29195,2019,1,suppressed_1_9,1,9,1.575,1.0,1.0,3.0,0.575,0.33062499999999995,True
29195,2020,1,suppressed_1_9,1,9,1.0858333333333334,1.0,1.0,2.0,0.08583333333333343,0.0073673611111111275,True
29195,2021,1,suppressed_1_9,1,9,1.4391666666666667,1.0,1.0,3.0,0.4391666666666667,0.19286736111111114,True
29195,2022,1,suppressed_1_9,1,9,1.2420833333333334,1.0,1.0,2.0,0.24208333333333343,0.058604340277777826,True
29195,2023,2,suppressed_1_9,1,9,1.4425,1.0,1.0,3.0,0.5575000000000001,0.3108062500000001,True
