query_id,row_type,year,state,state_fips,county,county_fips,urbanization,age_group,sex,race,hispanic_origin,place_of_death,deaths_raw,deaths,death_count_status,death_count_known,death_count_suppressed,death_count_zero,population,crude_rate,rate_status,notes,rate_per_100k
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Maine,23,,,,,,,,,51,51,exact,True,False,False,1344212,3.8,known_or_blank,,3.794044391807245
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Maine,23,,,,,,,,,46,46,exact,True,False,False,1350141,3.4,known_or_blank,,3.4070515598000504
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Maine,23,,,,,,,,,53,53,exact,True,False,False,1372247,3.9,known_or_blank,,3.8622784382111965
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Maine,23,,,,,,,,,65,65,exact,True,False,False,1385340,4.7,known_or_blank,,4.6919889702166975
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Maine,23,,,,,,,,,62,62,exact,True,False,False,1395722,4.4,known_or_blank,,4.442145355593736
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Maine,23,,,,,,,,,63,63,exact,True,False,False,1405012,4.5,known_or_blank,,4.48394746806433
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Maryland,24,,,,,,,,,135,135,exact,True,False,False,6045680,2.2,known_or_blank,,2.232999430998664
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Maryland,24,,,,,,,,,186,186,exact,True,False,False,6055802,3.1,known_or_blank,,3.0714346340914056
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Maryland,24,,,,,,,,,201,201,exact,True,False,False,6165129,3.3,known_or_blank,,3.260272412791363
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Maryland,24,,,,,,,,,253,253,exact,True,False,False,6164660,4.1,known_or_blank,,4.10403817891011
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Maryland,24,,,,,,,,,226,226,exact,True,False,False,6180253,3.7,known_or_blank,,3.656808224517669
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Maryland,24,,,,,,,,,229,229,exact,True,False,False,6263220,3.7,known_or_blank,,3.656266265595013
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Massachusetts,25,,,,,,,,,114,114,exact,True,False,False,6892503,1.7,known_or_blank,,1.653970988478351
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Massachusetts,25,,,,,,,,,96,96,exact,True,False,False,6893574,1.4,known_or_blank,,1.3926012834561579
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Massachusetts,25,,,,,,,,,150,150,exact,True,False,False,6984723,2.1,known_or_blank,,2.147544004250419
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Massachusetts,25,,,,,,,,,159,159,exact,True,False,False,6981974,2.3,known_or_blank,,2.2772929260406873
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Massachusetts,25,,,,,,,,,146,146,exact,True,False,False,7001399,2.1,known_or_blank,,2.0852975241091105
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Massachusetts,25,,,,,,,,,142,142,exact,True,False,False,7136171,2.0,known_or_blank,,1.9898626308141998
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Michigan,26,,,,,,,,,238,238,exact,True,False,False,9986857,2.4,known_or_blank,,2.3831321505855145
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Michigan,26,,,,,,,,,287,287,exact,True,False,False,9966555,2.9,known_or_blank,,2.879630925630772
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Michigan,26,,,,,,,,,326,326,exact,True,False,False,10050811,3.2,known_or_blank,,3.243519353811349
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Michigan,26,,,,,,,,,340,340,exact,True,False,False,10034113,3.4,known_or_blank,,3.3884410111785668
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Michigan,26,,,,,,,,,337,337,exact,True,False,False,10037261,3.4,known_or_blank,,3.357489657786123
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Michigan,26,,,,,,,,,354,354,exact,True,False,False,10140459,3.5,known_or_blank,,3.490966237327127
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Minnesota,27,,,,,,,,,171,171,exact,True,False,False,5639632,3.0,known_or_blank,,3.032112733596802
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Minnesota,27,,,,,,,,,196,196,exact,True,False,False,5657342,3.5,known_or_blank,,3.4645245063848003
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Minnesota,27,,,,,,,,,206,206,exact,True,False,False,5707390,3.6,known_or_blank,,3.6093555898580614
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Minnesota,27,,,,,,,,,218,218,exact,True,False,False,5717184,3.8,known_or_blank,,3.813066012918248
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Minnesota,27,,,,,,,,,227,227,exact,True,False,False,5737915,4.0,known_or_blank,,3.95614086301383
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Minnesota,27,,,,,,,,,233,233,exact,True,False,False,5793151,4.0,known_or_blank,,4.021990795682695
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Mississippi,28,,,,,,,,,102,102,exact,True,False,False,2976149,3.4,known_or_blank,,3.4272477621248125
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Mississippi,28,,,,,,,,,118,118,exact,True,False,False,2966786,4.0,known_or_blank,,3.977368101373001
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Mississippi,28,,,,,,,,,134,134,exact,True,False,False,2949965,4.5,known_or_blank,,4.5424267745549525
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Mississippi,28,,,,,,,,,139,139,exact,True,False,False,2940057,4.7,known_or_blank,,4.727799495043804
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Mississippi,28,,,,,,,,,132,132,exact,True,False,False,2939690,4.5,known_or_blank,,4.490269382145736
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Mississippi,28,,,,,,,,,137,137,exact,True,False,False,2943045,4.7,known_or_blank,,4.655042651403563
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Missouri,29,,,,,,,,,129,129,exact,True,False,False,6137428,2.1,known_or_blank,,2.1018576511203064
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Missouri,29,,,,,,,,,187,187,exact,True,False,False,6151548,3.0,known_or_blank,,3.0398852451447995
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Missouri,29,,,,,,,,,195,195,exact,True,False,False,6168187,3.2,known_or_blank,,3.1613827531493457
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Missouri,29,,,,,,,,,201,201,exact,True,False,False,6177957,3.3,known_or_blank,,3.2535027356130835
